,pnrhID,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss
37,1626156,0.425,0.889,0.414,0.106,0.138,0.091
38,1627742,0.233,0.901,0.475,0.144,0.18,0.144
39,1627750,0.311,0.874,0.401,0.076,0.106,0.056
40,203114,0.256,0.987,0.464,0.07,0.12,0.057
41,201937,0.393,0.768,0.408,0.111,0.206,0.106
42,1629636,0.416,0.759,0.4,0.033,0.192,0.03
43,201144,0.457,0.841,0.375,0.116,0.135,0.11
44,204060,0.416,0.854,0.418,0.078,0.201,0.052
45,202339,0.283,0.981,0.48,0.131,0.127,0.12
46,1627832,0.318,0.842,0.389,0.1,0.177,0.064
47,1629632,0.344,0.799,0.395,0.076,0.143,0.07
48,202681,0.479,1.041,0.485,0.098,0.114,0.09
49,202692,0.358,0.92,0.381,0.134,0.105,0.12
50,1628415,0.226,0.885,0.415,0.111,0.105,0.108
51,1628420,0.417,0.919,0.451,0.066,0.085,0.055
52,1626179,0.269,0.793,0.387,0.058,0.129,0.049
53,1628401,0.315,1.0,0.449,0.159,0.125,0.142
54,202397,0.343,0.819,0.434,0.032,0.11,0.028
55,203935,0.248,1.009,0.423,0.085,0.1,0.071
56,203115,0.295,0.816,0.418,0.061,0.146,0.061
57,1626196,0.303,0.846,0.426,0.081,0.134,0.057
58,204456,0.454,0.858,0.51,0.038,0.171,0.038
59,203087,0.35,1.01,0.491,0.104,0.074,0.104
60,202330,0.268,0.887,0.451,0.091,0.126,0.087
61,203082,0.219,0.94,0.367,0.084,0.102,0.074
62,202699,0.174,0.852,0.4,0.072,0.076,0.072
63,203901,0.484,0.726,0.417,0.094,0.177,0.09
64,201952,0.412,1.047,0.496,0.184,0.153,0.174
65,203992,0.248,0.876,0.456,0.084,0.173,0.071
66,201566,0.124,0.934,0.533,0.109,0.199,0.109
67,203933,0.183,0.906,0.434,0.099,0.066,0.094
68,1627749,0.313,0.748,0.407,0.047,0.122,0.043
69,203501,0.19,0.959,0.44,0.071,0.107,0.066
70,1626145,0.401,0.917,0.453,0.044,0.074,0.034
71,201988,0.268,0.995,0.394,0.07,0.075,0.065
72,1629628,0.277,0.682,0.353,0.131,0.169,0.12
73,1628988,0.348,0.75,0.392,0.033,0.146,0.025
74,203107,0.32,0.765,0.449,0.064,0.226,0.056
75,1629014,0.311,0.884,0.404,0.086,0.096,0.081
76,1628989,0.291,0.814,0.406,0.057,0.152,0.043
77,202694,0.205,1.05,0.471,0.094,0.069,0.081
78,1629639,0.303,0.709,0.344,0.043,0.161,0.039
79,202738,0.37,0.809,0.392,0.085,0.151,0.04
80,203552,0.232,1.026,0.459,0.077,0.084,0.065
81,1627783,0.142,0.815,0.369,0.097,0.118,0.082
82,203903,0.258,0.957,0.453,0.068,0.099,0.056
83,1628973,0.337,0.933,0.496,0.079,0.146,0.061
84,202709,0.373,0.785,0.405,0.082,0.174,0.067
85,1626144,0.366,0.932,0.491,0.154,0.167,0.123
86,201588,0.325,0.968,0.465,0.104,0.162,0.071
87,1626153,0.305,0.883,0.5,0.093,0.198,0.068
88,200765,0.416,0.781,0.416,0.033,0.153,0.022
89,1626162,0.151,0.915,0.479,0.092,0.131,0.085
90,1628366,0.264,0.581,0.32,0.029,0.27,0.025
91,203894,0.418,0.836,0.39,0.103,0.194,0.091
92,202711,0.138,0.814,0.386,0.108,0.132,0.084
93,203507,0.068,1.103,0.494,0.248,0.111,0.239
94,1627759,0.131,0.871,0.419,0.102,0.116,0.102
95,1628373,0.386,0.758,0.395,0.048,0.17,0.042
96,1628971,0.295,0.697,0.389,0.112,0.197,0.107
97,202954,0.305,0.796,0.353,0.118,0.125,0.105
98,1628972,0.222,0.71,0.354,0.071,0.077,0.059
99,1627732,0.15,0.797,0.475,0.135,0.23,0.108
100,203506,0.425,0.846,0.413,0.081,0.169,0.066
101,1629633,0.208,0.781,0.385,0.082,0.116,0.075
102,200826,0.49,0.904,0.426,0.04,0.16,0.04
103,1629631,0.19,0.691,0.352,0.099,0.167,0.086
104,200755,0.129,1.11,0.423,0.12,0.11,0.09
105,1628379,0.279,0.957,0.452,0.069,0.138,0.06
106,203903,0.296,0.949,0.409,0.137,0.128,0.128
107,1626156,0.471,0.826,0.411,0.106,0.182,0.053
108,1629629,0.214,0.717,0.333,0.118,0.145,0.092
109,1629645,0.262,0.712,0.363,0.11,0.212,0.11
110,203084,0.1,1.02,0.488,0.11,0.1,0.11
111,201568,0.111,0.911,0.409,0.116,0.125,0.116
112,203895,0.327,0.797,0.404,0.031,0.117,0.016
113,1628978,0.194,0.806,0.402,0.032,0.153,0.016
114,1629673,0.242,0.651,0.347,0.047,0.174,0.047
115,1629065,0.334,0.699,0.38,0.022,0.184,0.022
116,1627812,0.457,0.879,0.425,0.075,0.112,0.047
117,1628370,0.188,0.816,0.482,0.044,0.237,0.044
118,200752,0.106,1.152,0.559,0.038,0.114,0.038
119,202704,0.462,0.826,0.38,0.073,0.101,0.046
120,1626181,0.143,0.819,0.382,0.114,0.162,0.105
121,203932,0.136,0.649,0.3,0.107,0.145,0.107
122,1629003,0.257,0.901,0.5,0.143,0.22,0.143
123,1627756,0.32,0.953,0.493,0.024,0.141,0.024
124,203894,0.37,0.862,0.381,0.17,0.181,0.149
125,1627739,0.304,0.614,0.337,0.076,0.197,0.068
126,203526,0.333,0.825,0.416,0.072,0.155,0.052
127,1627854,0.138,0.849,0.378,0.032,0.086,0.032
128,201952,0.437,0.782,0.372,0.119,0.149,0.109
129,1628402,0.251,0.757,0.364,0.078,0.097,0.078
130,1629638,0.355,0.647,0.364,0.067,0.202,0.067
131,1629162,0.357,0.95,0.517,0.113,0.188,0.1
132,202692,0.369,1.027,0.431,0.164,0.082,0.151
133,201569,0.133,1.014,0.39,0.11,0.096,0.096
134,201976,0.204,0.851,0.456,0.103,0.149,0.069
135,1629001,0.23,0.589,0.31,0.089,0.218,0.056
136,203085,0.133,0.899,0.426,0.114,0.139,0.114
137,1626188,0.341,0.779,0.387,0.023,0.105,0.023
138,1628398,0.104,0.767,0.4,0.058,0.128,0.058
139,1629164,0.289,0.97,0.472,0.045,0.179,0.045
140,1628970,0.073,0.97,0.473,0.045,0.106,0.03
141,203521,0.363,0.692,0.409,0.044,0.231,0.022
142,1629056,0.178,0.663,0.379,0.074,0.253,0.042
143,1629018,0.141,0.912,0.39,0.088,0.059,0.074
144,1627936,0.247,0.635,0.304,0.083,0.188,0.094
145,1629013,0.148,0.855,0.386,0.058,0.13,0.029
146,201933,0.202,0.866,0.365,0.164,0.09,0.134
147,202066,0.147,0.58,0.247,0.04,0.07,0.02
148,1627814,0.098,0.934,0.444,0.115,0.148,0.115
149,203145,0.225,0.606,0.274,0.106,0.128,0.106
150,203944,0.044,0.949,0.5,0.102,0.136,0.102
151,203937,0.149,0.875,0.438,0.125,0.141,0.125
152,1627788,0.112,0.757,0.382,0.135,0.135,0.122
153,1628408,0.381,0.747,0.356,0.08,0.147,0.08
154,203914,0.123,0.737,0.333,0.092,0.132,0.092
155,1628995,0.175,0.64,0.284,0.14,0.093,0.14
156,202340,0.152,0.806,0.455,0.015,0.164,0.015
157,202734,0.148,0.74,0.375,0.055,0.082,0.027
158,1628389,0.047,0.964,0.526,0.182,0.145,0.182
159,1628411,0.194,0.881,0.4,0.102,0.051,0.102
160,203484,0.101,0.839,0.404,0.032,0.129,0.032
161,203952,0.298,0.743,0.36,0.171,0.143,0.114
162,1628372,0.401,0.444,0.233,0.077,0.171,0.068
163,1629019,0.289,1.186,0.613,0.116,0.163,0.047
164,1629035,0.217,0.957,0.368,0.043,0.13,0.043
165,1628422,0.169,0.926,0.426,0.056,0.093,0.056
166,203504,0.424,0.82,0.397,0.033,0.033,0.016
167,201158,0.175,0.806,0.304,0.048,0.032,0.048
168,1627736,0.165,1.114,0.475,0.045,0.045,0.045
169,203109,0.102,0.98,0.325,0.16,0.08,0.12
170,1628975,0.213,0.803,0.404,0.049,0.18,0.016
171,203503,0.116,0.98,0.525,0.02,0.184,0.02
