,Player ID,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT
65,203944.0,8.6,16.1,6.4,19.6,15.8,55.7,37.7,92.7,45.6,44.6,32.4,33.300000000000004,50.0,0.0,45.5,58.9,31.4,14.299999999999999,35.699999999999996,42.9,23.5,0.0,38.1
66,1626162.0,6.2,31.7,17.3,18.6,21.2,43.5,55.8,95.3,67.6,0.0,28.599999999999998,0.0,100.0,0.0,0.0,33.300000000000004,0.0,0.0,0.0,50.0,25.0,0.0,50.0
67,203484.0,10.7,45.2,24.4,13.5,17.3,30.6,74.0,92.1,81.7,60.0,28.599999999999998,0.0,0.0,0.0,0.0,33.300000000000004,25.0,0.0,0.0,0.0,42.9,0.0,0.0
68,203915.0,3.2,27.5,12.1,25.5,11.3,43.7,18.0,44.1,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,204456.0,22.0,3.3,13.2,8.0,12.9,66.7,24.2,100.0,26.1,53.800000000000004,47.599999999999994,16.7,70.5,58.3,57.599999999999994,74.0,48.0,44.4,0.0,50.0,0.0,0.0,50.0
70,1627752.0,3.9,58.3,15.6,8.3,12.9,29.4,58.2,87.5,73.9,66.7,50.0,28.599999999999998,61.1,66.7,37.5,76.5,50.0,46.2,0.0,0.0,0.0,0.0,0.0
71,203082.0,15.3,50.0,9.7,15.3,12.4,19.5,59.3,87.3,73.0,26.3,32.5,12.5,59.0,20.0,59.0,61.5,34.8,40.0,14.299999999999999,27.3,34.0,0.0,22.2
72,1626179.0,7.2,43.8,13.1,15.3,19.9,33.7,30.6,81.2,51.7,45.0,50.0,21.3,50.0,0.0,0.0,44.2,46.7,18.2,40.0,100.0,34.9,0.0,62.5
73,201572.0,5.8,39.1,5.3,13.0,9.4,42.0,68.2,100.0,79.4,47.099999999999994,32.6,40.6,50.0,0.0,0.0,57.699999999999996,50.0,60.0,0.0,50.0,34.300000000000004,0.0,50.0
74,203468.0,19.2,37.9,15.4,7.9,12.4,35.0,21.3,70.7,37.0,56.599999999999994,39.0,48.0,47.099999999999994,36.8,60.0,77.3,49.8,54.0,42.9,15.4,38.3,0.0,32.4
75,201980.0,4.0,66.1,22.7,7.1,18.0,22.7,66.7,97.0,85.5,75.0,16.7,100.0,69.39999999999999,100.0,50.0,70.7,33.300000000000004,60.0,0.0,0.0,0.0,0.0,0.0
76,201942.0,22.2,2.0,9.5,24.9,12.2,50.8,27.7,87.5,28.8,52.6,42.1,33.300000000000004,69.39999999999999,48.699999999999996,62.1,77.0,34.8,43.8,30.8,40.699999999999996,39.0,0.0,37.5
77,1628401.0,7.6,27.3,14.2,22.3,8.7,42.8,37.6,75.0,47.5,60.0,100.0,0.0,63.6,58.3,50.8,69.1,35.8,25.0,0.0,0.0,0.0,0.0,0.0
78,1626164.0,16.3,22.1,15.3,25.3,16.7,36.4,43.6,61.4,47.5,41.699999999999996,36.9,31.900000000000002,50.0,0.0,100.0,49.6,37.2,33.6,31.7,46.7,35.4,0.0,35.699999999999996
79,1627734.0,11.2,4.1,3.8,18.8,14.1,66.0,65.0,100.0,66.2,41.099999999999994,20.8,34.8,77.8,50.0,63.6,64.0,21.4,25.0,23.5,14.299999999999999,26.1,0.0,19.400000000000002
80,1629684.0,3.0,30.5,2.5,17.8,21.8,48.7,60.8,90.0,69.0,43.7,23.599999999999998,50.0,58.3,45.5,65.0,63.4,35.4,60.0,100.0,33.300000000000004,22.5,0.0,50.0
81,1628991.0,1.3,44.1,10.4,13.2,12.0,41.3,65.8,91.6,76.3,47.599999999999994,40.699999999999996,39.6,63.0,0.0,59.599999999999994,57.4,44.800000000000004,40.699999999999996,56.3,50.0,35.9,0.0,53.1
82,1629633.0,3.8,33.1,13.3,9.7,16.9,53.4,37.0,80.8,49.2,0.0,0.0,100.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1629637.0,0.5,0.7,14.1,26.0,11.9,72.8,82.1,100.0,82.2,44.3,40.2,32.4,56.49999999999999,33.300000000000004,60.0,62.8,38.2,37.2,42.3,42.9,33.1,0.0,42.5
