,pnrmID,PLAYER_NAME,PickNRollMan percent Poss ,PickNRollMan PPP,PickNRollMan FG PCT,PickNRollMan percent ScorePoss,PickNRollMan Poss,PickNRollMan FGM,PickNRollMan FGA
90,203084,Harrison Barnes,0.06,0.883,0.347,0.4,0.8,0.2,0.7
91,2730,Dwight Howard,0.088,1.3,0.677,0.675,0.6,0.3,0.4
92,1629048,Goga Bitadze,0.368,0.771,0.387,0.4,1.3,0.4,1.1
93,1628369,Jayson Tatum,0.029,1.182,0.5,0.545,0.7,0.3,0.5
94,202683,Enes Freedom,0.102,1.13,0.585,0.565,0.8,0.4,0.7
95,202693,Markieff Morris,0.105,1.0,0.375,0.423,1.2,0.3,0.9
96,203920,Khem Birch,0.214,1.063,0.545,0.542,1.0,0.4,0.7
97,1626143,Jahlil Okafor,0.181,1.22,0.7,0.634,1.4,0.7,1.0
98,203086,Meyers Leonard,0.131,1.324,0.606,0.595,0.7,0.4,0.6
99,1626246,Boban Marjanovic,0.19,1.231,0.65,0.577,1.1,0.6,0.9
100,1627827,Dorian Finney-Smith,0.077,1.0,0.475,0.429,0.7,0.3,0.6
101,203463,Ben McLemore,0.08,0.96,0.425,0.42,0.7,0.2,0.6
102,200794,Paul Millsap,0.065,1.216,0.5,0.541,0.7,0.3,0.7
103,1629672,Eric Paschall,0.046,1.184,0.543,0.553,0.6,0.3,0.6
104,200752,Rudy Gay,0.059,1.023,0.425,0.432,0.7,0.3,0.6
105,203998,Bruno Caboclo,0.274,0.9,0.471,0.45,1.1,0.4,0.9
106,201145,Jeff Green,0.176,1.419,0.655,0.677,1.7,1.1,1.6
107,1626178,Rondae Hollis-Jefferson,0.095,1.023,0.483,0.512,0.7,0.2,0.5
108,1629057,Robert Williams III,0.27,1.303,0.7,0.636,1.1,0.7,1.0
109,1628388,T.J. Leaf,0.191,1.154,0.545,0.538,0.8,0.4,0.7
110,1628963,Marvin Bagley III,0.191,1.132,0.541,0.526,2.9,1.5,2.8
111,202722,Davis Bertans,0.055,1.051,0.382,0.385,0.7,0.2,0.6
112,203953,Jabari Parker,0.11,0.774,0.391,0.358,1.7,0.6,1.4
113,203089,John Henson,0.231,1.083,0.563,0.528,1.2,0.6,1.1
114,1626195,Willy Hernangomez,0.197,1.0,0.567,0.487,1.3,0.5,1.0
115,202711,Bojan Bogdanovic,0.023,1.357,0.522,0.536,0.4,0.2,0.4
116,1628970,Miles Bridges,0.059,0.717,0.283,0.321,0.8,0.2,0.7
117,1627732,Ben Simmons,0.035,1.057,0.517,0.571,0.6,0.3,0.5
118,202335,Patrick Patterson,0.127,1.057,0.382,0.371,0.6,0.2,0.6
119,1627788,Furkan Korkmaz,0.053,1.029,0.448,0.4,0.5,0.2,0.4
120,1627863,Danuel House Jr.,0.067,0.857,0.394,0.357,0.7,0.2,0.5
